semaine;"num poule";competition;poule;J;le;horaire;"club rec";"club vis";"sc rec";"sc vis";"fdme rec";"fdme vis";"pen. rec";"pen. vis";"forf. rec";"forf. vis";"arb1 designe";"arb2 designe";"arb1 sifle";"arb2 sifle";secretaire;chronometreur;observateur;delegue;"resp salle";"tuteur table";"code renc";"Num rec";"Num vis";Etat;Forfait;Penalite;FDME;"Date Arrivee"
2023-45;M624401001;1dtm-44;"1DTM - POULE 1 ";6;11/11/2023;21:00:00;"1DTM-44-C-ALLIANCE PORTES DE L'ERDRE (PHB-CHAP)";"FANS HB LIGNE 2";32;25;32;25;0;0;0;0;"CESBRON QUENTIN";"BATAILLE JONATHAN";"CESBRON QUENTIN";"BATAILLE JONATHAN";"BODIN ALEXIS";"BURGUIN CHRISTOPHE";;;"DESSEVRES CHRISTOPHE";;TAEUZJX;6244021;6244039;JOUE;;;http://fdmerv.ff-handball.org/T/A/E/U/TAEUZJX_fu6Cp4DtV0RyujzEiQD1wg==.pdf;"12/11/2023 13:43"
2023-45;F62000406G;"d2fpl ; division 2 feminine territoriale ;";"D2FPL-D ; DIV 2 FEMININE TERRITORIALE - POULE D";5;11/11/2023;19:00:00;"D2F44-C-PORTERIE*ALLIANCE PORTES DE L'ERDRE";"HANDBALL CLUB MARSIEN U21";22;17;22;17;0;0;0;0;"FLOQUET KILIAN";;"FLOQUET KILIAN";;"COROYER EMMANUEL";"MILET VALENTIN";;;"THOMAZO LEO";;TAEXBGF;6244021;6244078;JOUE;;;http://fdmerv.ff-handball.org/T/A/E/X/TAEXBGF_++y1ciYgsmWneb1Rbp4siw==.pdf;"12/11/2023 14:53"
2023-45;Z624475041;u10m-44;"U10M-44-HONNEUR B POULE 3";4;12/11/2023;15:30:00;"HANDBALL CLUB DU GESVRES 2";"PORTERIE HANDBALL";13;7;13;7;0;0;0;0;;;"BLONDE CARRIERE GABRIEL";;"CHAULOUX EWEN";"GUEHENNEC YOUENN";"MORISSET AUBIN";;"MORISSET GUILLAUME";;TAEXGBX;6244085;6244021;JOUE;;;http://fdmerv.ff-handball.org/T/A/E/X/TAEXGBX_Hb5MdrIssdNJmlG5tVSsYg==.pdf;"12/11/2023 19:16"
2023-45;M624455061;u14m-44;"U14M-44-HONNEUR A POULE 4";5;12/11/2023;11:00:00;"CARQUEFOU HB 2";"PORTERIE HANDBALL";27;39;27;39;0;0;0;0;;;"PARNEIX PAUL";"CARIO NATHAN";"VANYPRE ADRIEN";"PAU BAPTISTE";"PIERRE ERWAN";;"GUILLET BERTRAND";"PIERRE ERWAN";TAESNLE;6244049;6244021;JOUE;;;http://fdmerv.ff-handball.org/T/A/E/S/TAESNLE_o+9V06QFLy5013v0Rnv2yg==.pdf;"12/11/2023 12:31"
2023-45;F624450051;u15f-44;"U15F-44-HONNEUR B POULE 1";4;12/11/2023;11:00:00;"HBC BLINOIS 2";"U15F-44-HB-C-ALLIANCE PORTES DE L'ERDRE (PHB-CHAP)";18;11;18;11;0;0;0;0;;;"DUVAL FAUSTINE";"CHEVALIER THOMAS";"GASNIER LEANE";"GASNIER JONAH";"MUSTIERE MARTIN";;"LEPINAY LUCIE";"PULLIAT GERALDINE";TAEXELV;6244035;6244021;JOUE;;;http://fdmerv.ff-handball.org/T/A/E/X/TAEXELV_c0pTIQlMO87pLe0VF+WCrA==.pdf;"12/11/2023 12:41"
2023-45;F624440001;u17f-44;"U17F-44-PRE REGION POULE A";5;11/11/2023;16:00:00;"HERIC HANDBALL";"U17F-44-PR-E-ALLIANCE PORTES DE L'ERDRE (PHB-CHAP)";31;36;31;36;0;0;0;0;;;"POTET ALEX";"IZAMBARD NOE";"ADAM LUCAS";"FLEURY THOMAS";"AMELINE VIVIEN";;"DESCAMPS JEAN-LOUP";"BAZIN THIERRY";TAESMYW;6244094;6244021;JOUE;;;http://fdmerv.ff-handball.org/T/A/E/S/TAESMYW_XpgnuDlOb4mlfAUcGP045g==.pdf;"12/11/2023 13:51"
2023-45;M624430001;u19m-44;"U19M-44-PRE REGION POULE A";5;11/11/2023;19:00:00;"U19M-44-PR-C-ALLIANCE PORTES DE L'ERDRE (PHB-CHAP)";"NORT AC HANDBALL";32;34;32;34;0;0;0;0;"FRION MATIS";;"FRION MATIS";;"LOYER ROMANE";"VOISIN LEONIE";;;"DESSEVRES CHRISTOPHE";;TAESLZN;6244021;6244041;JOUE;;;http://fdmerv.ff-handball.org/T/A/E/S/TAESLZN_zmX18cUTkb9jVYqfcESJgw==.pdf;"12/11/2023 13:43"
2023-45;F62000301G;"d1fpl ; division 1 feminine territoriale ;";"D1FPL; POULE A";5;11/11/2023;19:00:00;"SAVENAY HB";"D1F44-C-LA CHAPELAINE*ALLIANCE PORTES DE L'ERDRE";21;22;21;22;0;0;0;0;"BLACHON GAETAN";;"BLACHON GAETAN";;"ROSSIGNOL SOAN";"ROSSIGNOL ISAIA";;;"ROHART ANTONIN";;TAEVSCS;6244050;6244038;JOUE;;;http://fdmerv.ff-handball.org/T/A/E/V/TAEVSCS_G8fskcdCaPZplDU3PufHAQ==.pdf;"12/11/2023 15:19"
2023-45;Z62448500P;"ecole de hand - 44";"TOURNOI 1 FEMININ";1;12/11/2023;14:30:00;"LA CHAPELAINE 1F";"FANS HB LIGNE 1F";;;;;0;0;0;0;;;;;;;;;;;TAEZXVL;6244038;6244039;NON_JOUE;;;;
2023-45;Z62448500P;"ecole de hand - 44";"TOURNOI 1 FEMININ";1;12/11/2023;14:30:00;"LA CHAPELAINE 1F";"THOUARE HANDBALL CLUB 1F.2F";;;;;0;0;0;0;;;;;;;;;;;TAEZXVM;6244038;6244091;NON_JOUE;;;;
